Average Purchase Price,Average Rent Price,Socioeconomic Index,School Rating,English Neighborhood Name,Hebrew Neighborhood Name,General Overview,Bars_Count,Restaurants_Count,Clubs_Count,Shopping_Malls_Count,Unique_Entertainment_Count,Primary_Schools_Count,Elementary_Schools_Count,Secondary_Schools_Count,High_Schools_Count,Universities_Count,Closest_Beach_Distance_km,Latitude,Longitude
4152992.0,8390.0,9.0,8.7,Neot Afeka A,נאות אפקה א׳,"Neot Afeka A is a peaceful, residential neighborhood known for its family-friendly atmosphere. It attracts young families and professionals, creating a community vibe. Primarily a residential area, you'll find some local businesses catering to residents' needs. The neighborhood generally exudes a calm and convenient vibe.
",3.0,28.0,0.0,2.0,30.0,4.0,0.0,2.0,0.0,1.0,,32.115276,34.820503
4730661.0,8950.0,9.0,9.0,Neot Afeka B,נאות אפקה ב׳,"Neot Afeka B in Tel Aviv offers a relaxed, family-friendly atmosphere with a mix of residential buildings. The neighborhood attracts young families, professionals, and students, and features a variety of local businesses including cafes, shops, and essential services. It generally provides a calm, suburban vibe within the bustling city of Tel Aviv.
",4.0,24.0,0.0,1.0,27.0,4.0,0.0,2.0,0.0,1.0,,32.118594,34.82277699999999
5009709.0,9750.0,9.0,9.2,Neve Avivim,נווה אביבים,"Neve Avivim is a tranquil, residential neighborhood known for its family-friendly atmosphere. It attracts a mix of families, young professionals, and long-term residents, often featuring well-maintained homes and green spaces. The area mainly consists of local shops and services catering to residents, creating a quiet and comfortable suburban vibe.
",10.0,30.0,0.0,3.0,39.0,7.0,0.0,0.0,0.0,3.0,1.41,32.116576,34.798318
2386841.0,6200.0,7.26,7.8,Neve Chen,נווה חן,"Neve Chen in Tel Aviv is known for its relaxed, family-friendly atmosphere, attracting young families and professionals seeking a quieter residential environment. The area features a mix of local businesses like cafes, restaurants, and small shops, contributing to a community feel. With its green spaces and slower pace, Neve Chen offers a tranquil vibe, a welcome contrast to the bustling city center.
",32.0,29.0,4.0,1.0,59.0,6.0,0.0,3.0,0.0,1.0,0.0,32.0852999,34.78176759999999
2748175.0,5900.0,5.0,5.0,Neve Sha'anan ,נווה שאנן,"Neve Sha'anan is a vibrant and diverse neighborhood known for its energetic atmosphere. It's home to a wide range of residents, including long-time residents, immigrants, and students, contributing to its multicultural character. The area is filled with various businesses, from authentic ethnic restaurants and shops to bustling markets, creating a lively and dynamic vibe.
",31.0,29.0,26.0,2.0,74.0,4.0,0.0,1.0,0.0,4.0,2.07,32.058885,34.780942
3151487.0,6200.0,7.0,8.6,Neve Sharet,נווה שרת,"Neve Sharet is a residential neighborhood in Tel Aviv with a family-friendly atmosphere, known for its parks and green spaces. You'll find a mix of young families, professionals, and long-term residents. The area primarily features local businesses, including shops, cafes, and service providers, contributing to a relaxed and community-oriented vibe.
",3.0,24.0,1.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,,32.118082,34.840518
2275219.0,4950.0,4.0,4.5, Neve Ofer,נווה עופר (תל כביר) יפו ב,"Neve Ofer is a residential neighborhood in southern Tel Aviv, known for its family-friendly atmosphere and affordability. It is home to a diverse population, including young families, students, and long-time residents, and features a mix of local businesses like small shops, cafes, and community services. The neighborhood has a generally relaxed vibe, offering a more tranquil environment compared to the bustling city center.
",16.0,33.0,5.0,1.0,50.0,6.0,0.0,3.0,0.0,1.0,1.87,32.040786,34.765119
6275835.0,12500.0,9.0,6.0,Neve Tzedek,נווה צדק,"Neve Tzedek is a charming, historic neighborhood in Tel Aviv with a bohemian and artistic atmosphere. It's home to a mix of families, artists, and young professionals, drawn to its unique character. You'll find art galleries, boutiques, trendy cafes, and upscale restaurants lining the picturesque streets.
",26.0,21.0,28.0,0.0,62.0,1.0,0.0,2.0,0.0,1.0,0.6,32.0621679,34.7648061
4587450.0,12500.0,8.0,9.0,Nofei Yam,נופי ים,"Nofei Yam in Tel Aviv is a serene, residential neighborhood known for its relaxed atmosphere and close proximity to the sea. It primarily attracts families, young professionals, and retirees seeking a tranquil lifestyle. The area features a mix of local businesses, including cafes, restaurants, and convenient stores, contributing to its cozy vibe.
",4.0,27.0,0.0,1.0,31.0,9.0,0.0,0.0,0.0,0.0,0.73,32.1151645,34.787734
3860136.0,8200.0,6.0,9.0,Nahalat Yitzhak,נחלת יצחק,"Nahalat Yitzhak is a diverse Tel Aviv neighborhood, known for its blend of residential areas and commercial spaces. It's home to a mix of young professionals, families, and long-time residents, creating a dynamic community. Businesses range from high-tech companies and offices to local shops and restaurants, contributing to its active vibe.
",27.0,29.0,10.0,2.0,56.0,5.0,0.0,3.0,0.0,7.0,1.96,32.075597,34.799186
3287494.0,10500.0,6.0,3.5,Ajami,עג'מי וגבעת עלייה,"Ajami in Tel Aviv offers a captivating blend of old-world charm and modern revitalization. The neighborhood is home to a diverse community, including both long-time residents and newcomers. You'll find a mix of local businesses, from traditional eateries to trendy art galleries, creating a vibrant atmosphere.
",24.0,34.0,0.0,0.0,53.0,2.0,0.0,4.0,0.0,1.0,0.74,32.044009,34.750559
2894000.0,7000.0,5.0,5.0,Ezra,עזרא,"Ezra in Tel Aviv is a charming and quiet residential area with a laid-back atmosphere, ideal for families and young professionals seeking a peaceful environment. The residents are a mix of long-time locals and newcomers, contributing to a diverse community. The neighborhood features mostly residential buildings with a selection of local shops and cafes, giving it a relaxed, neighborly vibe.
",0.0,25.0,1.0,0.0,26.0,4.0,0.0,2.0,0.0,0.0,,32.044264,34.790606
3440323.0,7000.0,8.0,3.5,Florentin,פלורנטין,"Florentin is a trendy and up-and-coming neighborhood with a bohemian atmosphere. It's known to attract artists, young professionals, and families, fostering a diverse community. Businesses range from artisan workshops and vintage shops to trendy cafes and art galleries, creating a vibrant and energetic vibe.
",25.0,25.0,23.0,0.0,62.0,2.0,0.0,0.0,0.0,1.0,0.88,32.0571241,34.7671708
12273500.0,10500.0,10.0,8.5,Tzahala,צהלה,"Tzahala is a tranquil, upscale residential neighborhood in northern Tel Aviv, known for its green spaces and spacious villas. Primarily attracting families and affluent individuals, the area features a mix of local shops and services catering to residents' needs. The overall vibe is peaceful and family-oriented, offering a suburban feel within the bustling city.
",1.0,19.0,0.0,0.0,20.0,4.0,0.0,1.0,0.0,0.0,,32.122331,34.836433
2500000.0,7500.0,7.26,3.3,Tsahalon,צהלון ושיכוני חיסכון,"Tsahalon is a tranquil and residential neighborhood in Tel Aviv, known for its quiet streets and green spaces. It's home to a mix of families and long-time residents, fostering a community-oriented atmosphere. You'll find mostly local shops, cafes, and essential services catering to the needs of the residents, creating a relaxed and peaceful vibe.
",27.0,28.0,6.0,0.0,54.0,3.0,0.0,4.0,0.0,2.0,1.25,32.045598,34.756104
2949342.0,6500.0,5.0,7.7,Kiryat Shalom,קריית שלום,"Kiryat Shalom is a well-established, residential neighborhood with a relaxed atmosphere. It's home to a diverse community of families and older residents, fostering a close-knit vibe. The area features everyday businesses like local shops and services, creating a practical and convenient environment.
",18.0,31.0,13.0,1.0,59.0,3.0,0.0,3.0,0.0,1.0,2.41,32.044984,34.776558
6050000.0,15000.0,9.0,8.1,Revivim,רביבים,"Revivim is a quiet, residential neighborhood with a family-friendly atmosphere. Primarily, you'll find young families and established residents enjoying the area's tranquility, with the presence of local shops, cafes, and schools catering to their needs. This neighborhood generally offers a relaxed vibe, perfect for those seeking a peaceful living environment while still being conveniently located within Tel Aviv.
",3.0,25.0,0.0,0.0,27.0,4.0,0.0,2.0,0.0,0.0,,32.11605,34.82886999999999
4830000.0,14500.0,9.0,6.748,Ramot Tsahala,רמות צהלה,"Ramot Tsahala is a tranquil, upscale neighborhood characterized by a suburban atmosphere with lush greenery. It attracts families and professionals seeking a peaceful environment, with residents including many high-income earners. The area primarily features residential properties, with limited commercial activity focused on local services and convenience stores.
",3.0,28.0,0.0,0.0,30.0,3.0,0.0,1.0,0.0,0.0,,32.121315,34.830805
5117106.0,7750.0,9.0,8.9,Ramat Aviv Alef,רמת אביב,"Ramat Aviv Alef is a prestigious, well-established neighborhood known for its quiet, residential atmosphere. Primarily, it attracts families, academics, and professionals who appreciate its proximity to universities and green spaces. The area features mainly residential properties, with a selection of local businesses, cafes, and convenient amenities that cater to its residents.
",8.0,23.0,2.0,2.0,32.0,6.0,0.0,0.0,0.0,4.0,1.72,32.107476,34.795951
7438890.0,11500.0,9.0,8.3,Ramat Aviv Gimel,רמת אביב ג,"Ramat Aviv Gimel is a well-established, family-oriented neighborhood known for its calm and residential atmosphere. It attracts a mix of young families, professionals, and long-time residents, fostering a community feel. The area primarily offers local businesses like cafes, shops, and services, contributing to a relaxed, everyday vibe.
",4.0,23.0,0.0,2.0,26.0,4.0,0.0,0.0,0.0,0.0,1.39,32.126953,34.799683
6000000.0,9125.0,9.0,8.3,Ramat HaHayal,רמת החייל,"Ramat HaHayal is a vibrant, modern neighborhood in Tel Aviv known for its bustling atmosphere and strong connection to the business sector. The area attracts a diverse mix of residents, including young professionals, families, and those working in the many high-tech companies and commercial centers that dominate the landscape. With a focus on commerce and innovation, Ramat HaHayal maintains a dynamic vibe, offering a blend of work and leisure within its well-planned infrastructure.
",6.0,31.0,2.0,0.0,35.0,3.0,0.0,1.0,0.0,0.0,,32.1133727,34.8366371
3253006.0,5475.0,7.0,7.0,Ramat HaTayasim,רמת הטייסים,"Ramat HaTayasim in Tel Aviv offers a quiet and residential atmosphere, perfect for families and individuals seeking a more relaxed environment. The neighborhood is primarily home to young families, professionals, and long-term residents, creating a friendly and community-oriented vibe. While primarily residential, you'll find some local businesses like cafes and shops catering to the daily needs of residents, contributing to a convenient and calm atmosphere.
",7.0,28.0,1.0,0.0,32.0,4.0,0.0,4.0,0.0,0.0,,32.057549,34.809123
4304995.0,9675.0,7.0,4.5,Flea Market and northern Jaffa area,צפון יפו,"The Flea Market and northern Jaffa area exudes a vibrant and eclectic atmosphere, characterized by its historic charm and artistic flair. Residents include a mix of long-time locals, young professionals, and artists, creating a diverse community. The area thrives with antique shops, art galleries, trendy cafes, and traditional Middle Eastern businesses, contributing to a lively and engaging experience.
",28.0,30.0,8.0,0.0,58.0,3.0,0.0,3.0,0.0,2.0,1.21,32.04960790000001,34.7588317
8282056.0,9000.0,9.0,9.7,Bavli,בבלי,"Bavli is a well-established, upscale neighborhood in Tel Aviv, known for its calm and residential atmosphere. You'll find a mix of families, young professionals, and long-time residents in the area. The neighborhood features a variety of businesses, including cafes, restaurants, and local shops, contributing to a relaxed and comfortable vibe.
",7.0,33.0,3.0,2.0,41.0,2.0,0.0,3.0,0.0,3.0,1.88,32.0954157,34.7977922
2519796.0,5700.0,5.0,2.5,Shapira,שפירא,"Shapira is a historically working-class neighborhood experiencing revitalization, known for its diverse population, including long-time residents and young professionals. The area features a mix of small, family-run businesses, alongside trendy cafes and galleries, reflecting its evolving character. The vibe in Shapira is generally described as laid-back and community-oriented with a growing artistic presence.
",32.0,38.0,26.0,1.0,80.0,3.0,0.0,1.0,0.0,1.0,1.92,32.050855,34.775606
5385117.0,11500.0,10.0,7.0,Sarona,גני שרונה,"Sarona is a vibrant and modern neighborhood in Tel Aviv, known for its beautifully preserved Templar buildings and a lively atmosphere. It attracts a diverse mix of residents, including young professionals, families, and tourists, enjoying its high-end lifestyle. The area is home to a variety of businesses, from gourmet restaurants and trendy boutiques to offices and entertainment venues, creating a sophisticated and energetic vibe.
",23.0,25.0,28.0,5.0,69.0,3.0,0.0,1.0,0.0,5.0,1.53,32.0717666,34.7848085
5030000.0,10000.0,9.0,8.7,Shikun Lamed,תוכנית ל,"Shikun Lamed is a quiet, residential neighborhood with a mix of older and newer buildings, creating a calm atmosphere. The area is home to a diverse population, including families, young professionals, and long-time residents. You'll find local businesses like small grocery stores and cafes catering to the daily needs of the community, giving the neighborhood a relaxed vibe.
",7.0,23.0,2.0,2.0,30.0,7.0,0.0,0.0,0.0,2.0,1.33,32.106443,34.791441
4280538.632653061,15000.0,9.0,8.5,Tel Baruch,תל ברוך,"Tel Baruch is a relaxed, upscale neighborhood with a coastal vibe. It attracts families and young professionals seeking a quieter lifestyle, while also being close to the city's core. The area primarily features residential buildings, alongside a selection of local cafes, shops, and convenient services. The overall atmosphere is tranquil and community-oriented, perfect for those who enjoy beach access and a slower pace of life.
",3.0,24.0,0.0,2.0,26.0,3.0,0.0,1.0,0.0,2.0,2.87,32.119821,34.815797
2840000.0,6200.0,7.0,6.1,Tel Haim,תל חיים,"Tel Haim is a quiet, residential neighborhood known for its family-friendly atmosphere, drawing a mix of young families, professionals, and long-time residents. The area primarily features local businesses, convenience stores, and cafes that cater to its residents. It generally has a relaxed and laid-back vibe, offering a contrast to the more bustling parts of Tel Aviv.
",9.0,33.0,3.0,0.0,40.0,5.0,0.0,2.0,0.0,1.0,3.29,32.061544,34.80263
